receipt_no,receipt_date,supplier,customer,item_description,variant,qty,unit,unit_price,line_total,match_check,category,reading_confidence,notes
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,42 x 18-1/2 x 42 x 3/4,,1,pc,1360,1360,OK,custom_glass,HIGH,
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,35-1/2 x 16 x 35-1/2,Temp 10mm clear,1,pc,745,745,OK,custom_glass,HIGH,
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,31 x 17,Temp 10mm clear,1,pc,745,745,OK,custom_glass,MEDIUM,unit price could be 745 or 765; used 745 to match line total
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,37 x 18-1/2 x 36-1/2,clear,1,pc,1190,1190,OK,custom_glass,HIGH,
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,24-9/14 x 34-11/14,,1,pc,832,832,OK,custom_glass,HIGH,
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,18-7/8 x 20-1/8,Temp 6mm Bronze,4,pc,380,1520,OK,custom_glass,HIGH,
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,18-7/8 x 20-1/8,Bronze,2,pc,380,760,OK,custom_glass,HIGH,
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,18-3/8 x 19-5/8,,4,pc,570,2280,OK,custom_glass,LOW,unit price on paper looks like 380 but 4*380=1520 not 2280; used 570 to match line total (2280/4)
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,24 x 72,,3,pc,1800,5400,OK,custom_glass,HIGH,
5833,2024-01-24 OR 2026-01-24,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,10-7/8 x 22-15/14,10mm clear,1,pc,300,300,OK,custom_glass,HIGH,"receipt total shows 15,172 but line-item sum is 15,132 (off by 40) - check for reading error"
5856,2026-01-27,High Point Aluminum and Glass Supply,Parabellum Aluminum and Iron work,28-1/8 x 23-11/14,6mm bronze,4,pc,475,1900,OK,custom_glass,LOW,receipt shows '= 1900' - assumed 1900 is LINE TOTAL (unit=475); if 1900 is UNIT PRICE then line total is 7600 - please verify with paper
6172,2026-01-17,High Point Aluminum and Glass Supply,Parabellum Glass and Iron work,D-sill 798-WF,,2,pc,864,1728,OK,standard_hardware,HIGH,
6172,2026-01-17,High Point Aluminum and Glass Supply,Parabellum Glass and Iron work,D-head 798-WF,,2,pc,787,1574,OK,standard_hardware,HIGH,
6172,2026-01-17,High Point Aluminum and Glass Supply,Parabellum Glass and Iron work,Top/Bottom 798-WF,,5,pc,506,2530,OK,standard_hardware,HIGH,
