material_code,material_name,period_month,demand_qty,source
MAT-3X7BRONZE,3x7 Bronze,2023-01-01,19.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-02-01,21.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-03-01,20.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-04-01,15.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-05-01,13.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-06-01,13.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-07-01,12.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-08-01,7.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-09-01,7.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-10-01,11.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-11-01,10.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2023-12-01,14.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-01-01,14.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-02-01,17.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-03-01,3.0,real
MAT-3X7BRONZE,3x7 Bronze,2024-04-01,13.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-05-01,14.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-06-01,11.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-07-01,9.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-08-01,9.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-09-01,10.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-10-01,10.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-11-01,11.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2024-12-01,14.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2025-01-01,14.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2025-02-01,14.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2025-03-01,17.0,synthetic
MAT-3X7BRONZE,3x7 Bronze,2025-04-01,13.0,synthetic
